部位,"协议名称
ProtocolName","年龄组
AgeGroup",解剖区域,组织,病患体型(kg),扫描类型,"扫描长度
（mm）","定位像FOV
(mm)",准直,螺距,"旋转时间
(s)",Kv,mAs ,mA,扫描增量,周期/扫描次数,DOM,"CTDIvol
（mGy）",CTDI模体尺寸（cm）,"DLP
(mGy*cm)","剂量通知CTDIvol值
(mGy)","重建FOV
(mm)","层厚
(mm)","重建增量
(mm)",滤波器,"矩阵
Matrix","窗宽
WindowWidth","窗位
WindowCenter","X坐标
X_Center","Y坐标
Y_Center","金属化
MetalReduction",mARef,AF,"原厂/自定义
origin/custom"
,IAC0-6yrs,儿童,IAC,骨骼,20-30,螺旋,48.0,500.0,32×0.6,0.6,1.0,120.0,258.0,155.0,N/A,N/A,0.0,35.7,16.0,171.36,60.0,200.0,1.0,1.0,Bone2,512.0,4000.0,600.0,0.0,0.0,0.0,0.0,0.0,origin
,IAC6yrs+,儿童,IAC,骨骼,40-50,螺旋,48.0,500.0,32×0.6,0.6,1.0,120.0,300.0,180.0,N/A,N/A,0.0,41.4,16.0,198.72,80.0,200.0,1.0,1.0,Bone2,512.0,4000.0,600.0,0.0,0.0,0.0,0.0,0.0,origin
,脑部轴位0-18m,婴儿,脑部,软组织,＜10,断层,135.0,500.0,32×0.6,N/A,1.0,120.0,192.0,192.0,19.2,7.0,0.0,26.5,16.0,357.75,50.0,200.0,2.4,2.4,Brain,512.0,100.0,40.0,0.0,0.0,0.0,0.0,0.0,origin
,脑部轴位0-18m,婴儿,脑部,骨骼,＜10,断层,135.0,500.0,32×0.6,N/A,1.0,120.0,192.0,192.0,19.2,7.0,0.0,26.5,16.0,357.75,50.0,200.0,2.4,2.4,Bone2,512.0,3500.0,600.0,0.0,0.0,0.0,0.0,0.0,origin
,脑部轴位18m-6y,儿童,脑部,软组织,20-30,断层,135.0,500.0,32×0.6,N/A,1.0,120.0,205.0,205.0,19.2,7.0,0.0,32.1,16.0,433.35,60.0,200.0,2.4,2.4,Brain,512.0,100.0,40.0,0.0,0.0,0.0,0.0,0.0,origin
,脑部轴位18m-6y,儿童,脑部,骨骼,20-30,断层,135.0,500.0,32×0.6,N/A,1.0,120.0,205.0,205.0,19.2,7.0,0.0,32.1,16.0,433.35,60.0,200.0,2.4,2.4,Bone2,512.0,3500.0,600.0,0.0,0.0,0.0,0.0,0.0,origin
,脑部轴位6yrs+,儿童,脑部,软组织,40-50,断层,135.0,500.0,32×0.6,N/A,1.0,120.0,235.0,235.0,19.2,7.0,0.0,36.8,16.0,496.8,60.0,200.0,2.4,2.4,Brain,512.0,100.0,40.0,0.0,0.0,0.0,0.0,0.0,origin
,脑部轴位6yrs+,儿童,脑部,骨骼,40-50,断层,135.0,500.0,32×0.6,N/A,1.0,120.0,235.0,235.0,19.2,7.0,0.0,36.8,16.0,496.8,60.0,200.0,2.4,2.4,Bone2,512.0,3500.0,600.0,0.0,0.0,0.0,0.0,0.0,origin
,脑部0-18m,婴儿,脑部,软组织,＜10,螺旋,120.0,500.0,32×0.6,0.6,1.0,120.0,192.0,115.0,N/A,N/A,0.0,26.5,16.0,318.0,50.0,200.0,3.0,3.0,Brain,512.0,100.0,40.0,0.0,0.0,0.0,0.0,0.0,origin
,脑部0-18m,婴儿,脑部,骨骼,＜10,螺旋,120.0,500.0,32×0.6,0.6,1.0,120.0,192.0,115.0,N/A,N/A,0.0,26.5,16.0,318.0,50.0,200.0,3.0,3.0,Bone2,512.0,3500.0,600.0,0.0,0.0,0.0,0.0,0.0,origin
,脑部18m-6y,儿童,脑部,软组织,20-30,螺旋,120.0,500.0,32×0.6,0.6,1.0,120.0,233.0,140.0,N/A,N/A,0.0,32.2,16.0,386.4,60.0,200.0,3.0,3.0,Brain,512.0,100.0,40.0,0.0,0.0,0.0,0.0,0.0,origin
,脑部18m-6y,儿童,脑部,骨骼,20-30,螺旋,120.0,500.0,32×0.6,0.6,1.0,120.0,233.0,140.0,N/A,N/A,0.0,32.2,16.0,386.4,60.0,200.0,3.0,3.0,Bone2,512.0,3500.0,600.0,0.0,0.0,0.0,0.0,0.0,origin
,脑部6yrs+,儿童,脑部,软组织,40-50,螺旋,120.0,500.0,32×0.6,0.6,1.0,120.0,267.0,160.0,N/A,N/A,0.0,36.8,16.0,441.6,60.0,200.0,3.0,3.0,Brain,512.0,100.0,40.0,0.0,0.0,0.0,0.0,0.0,origin
,脑部6yrs+,儿童,脑部,骨骼,40-50,螺旋,120.0,500.0,32×0.6,0.6,1.0,120.0,267.0,160.0,N/A,N/A,0.0,36.8,16.0,441.6,60.0,200.0,3.0,3.0,Bone2,512.0,3500.0,600.0,0.0,0.0,0.0,0.0,0.0,origin
,鼻窦/面部/眼眶0-6y,儿童,鼻窦,鼻窦,20-30,螺旋,100.0,500.0,32×0.6,0.6,1.0,100.0,167.0,100.0,N/A,N/A,0.0,14.5,16.0,145.0,45.0,140.0,2.0,2.0,S3,512.0,2500.0,200.0,0.0,0.0,0.0,0.0,0.0,origin
,鼻窦/面部/眼眶6y+,儿童,鼻窦,鼻窦,40-50,螺旋,100.0,500.0,32×0.6,0.6,1.0,100.0,225.0,135.0,N/A,N/A,0.0,19.6,16.0,196.0,45.0,140.0,2.0,2.0,S3,512.0,2500.0,200.0,0.0,0.0,0.0,0.0,0.0,origin
,脑部/颈部/螺旋,成人,脑部和颈椎,软组织,50-90,螺旋,305.0,500.0,32×0.6,1.3,1.0,120.0,196.0,255.0,N/A,N/A,1.0,30.7,16.0,936.35,80.0,250.0,5.0,5.0,Brain,512.0,300.0,40.0,0.0,0.0,0.0,0.0,0.0,origin
,脑部/颈部/螺旋,成人,脑部和颈椎,骨骼,50-90,螺旋,305.0,500.0,32×0.6,1.3,1.0,120.0,196.0,255.0,N/A,N/A,1.0,30.7,16.0,936.35,80.0,250.0,5.0,5.0,Bone2,512.0,300.0,40.0,0.0,0.0,0.0,0.0,0.0,origin
,质控_成人,成人,水模,ST,50-90,断层,19.2,200.0,32×0.6,N/A,1.0,120.0,200.0,200.0,19.2,N/A,0.0,27.6,16.0,52.992,80.0,200.0,9.6,9.6,S2,512.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,origin
,质控_儿童,儿童,水模,ST,50-90,断层,19.2,200.0,32×0.6,N/A,1.0,120.0,100.0,100.0,19.2,N/A,0.0,13.8,16.0,26.496,80.0,200.0,9.6,9.6,S2,512.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,origin
颈部,颈部软组织,成人,颈部,软组织,50-90,螺旋,300.0,500.0,32×0.6,1.1,1.0,120.0,282.0,310.0,N/A,N/A,1.0,25.0,32.0,750.0,80.0,250.0,3.0,3.0,S2,512.0,350.0,40.0,0.0,0.0,0.0,0.0,0.0,origin
,颈部0-6yrs,儿童,颈部,骨骼,20-30,螺旋,197.5,500.0,32×0.6,1.1,1.0,100.0,171.0,188.0,N/A,N/A,0.0,8.0,32.0,158.0,30.0,200.0,1.0,1.0,Bone2,512.0,4000.0,600.0,0.0,0.0,0.0,0.0,0.0,origin
,颈部6yrs+,儿童,颈部,骨骼,40-50,螺旋,197.5,500.0,32×0.6,1.1,1.0,100.0,245.0,269.0,N/A,N/A,0.0,12.2,32.0,240.95,40.0,200.0,1.0,1.0,Bone2,512.0,4000.0,600.0,0.0,0.0,0.0,0.0,0.0,origin
,颈椎0-18m,婴儿,颈椎,骨骼,＜10,螺旋,150.0,500.0,32×0.6,0.6,1.0,100.0,142.0,85.0,N/A,N/A,0.0,6.7,32.0,100.5,25.0,180.0,1.0,1.0,Bone2,512.0,4000.0,600.0,0.0,0.0,0.0,0.0,0.0,origin
,颈椎18m-3y,儿童,颈椎,骨骼,20-30,螺旋,150.0,500.0,32×0.6,0.6,1.0,100.0,170.0,102.0,N/A,N/A,0.0,8.0,32.0,120.0,25.0,180.0,1.0,1.0,Bone2,512.0,4000.0,600.0,0.0,0.0,0.0,0.0,0.0,origin
,颈椎3-8y,儿童,颈椎,骨骼,30-40,螺旋,150.0,500.0,32×0.6,0.6,1.0,100.0,170.0,102.0,N/A,N/A,0.0,8.0,32.0,120.0,30.0,180.0,1.0,1.0,Bone2,512.0,4000.0,600.0,0.0,0.0,0.0,0.0,0.0,origin
,颈椎8yrs+,儿童,颈椎,骨骼,50-60,螺旋,150.0,500.0,32×0.6,0.6,1.0,100.0,303.0,182.0,N/A,N/A,0.0,14.3,32.0,214.5,40.0,180.0,1.0,1.0,Bone2,512.0,4000.0,600.0,0.0,0.0,0.0,0.0,0.0,origin
胸腔,胸部,成人,胸部,软组织,50-90,螺旋,348.0,500.0,32×0.6,1.3,1.0,120.0,171.0,222.0,N/A,N/A,1.0,14.3,32.0,497.64,50.0,350.0,3.0,3.0,Lung2,512.0,1500.0,-700.0,0.0,0.0,0.0,0.0,0.0,origin
,胸部/腹部/骨盆,成人,胸部/腹部,软组织,50-90,螺旋,516.0,500.0,32×0.6,1.3,1.0,120.0,226.0,294.0,N/A,N/A,1.0,20.0,32.0,1032.0,50.0,350.0,3.0,3.0,S2,512.0,500.0,40.0,0.0,0.0,0.0,0.0,0.0,origin
,胸部PE,成人,胸部,软组织,50-90,螺旋,348.0,500.0,32×0.6,1.3,1.0,120.0,171.0,222.0,N/A,N/A,1.0,14.3,32.0,497.64,50.0,350.0,2.0,2.0,Lung2,512.0,1500.0,-700.0,0.0,0.0,0.0,0.0,0.0,origin
,胸腔0-10kg,儿童,婴儿,软组织,＜10,螺旋,150.0,500.0,32×0.6,0.938,1.0,100.0,85.0,80.0,N/A,N/A,0.0,4.0,32.0,60.0,10.0,180.0,3.0,3.0,Lung2,512.0,1500.0,-700.0,0.0,0.0,0.0,0.0,0.0,origin
,胸腔10-30kg,儿童,胸部,软组织,20-30,螺旋,150.0,500.0,32×0.6,0.938,1.0,100.0,107.0,100.0,N/A,N/A,0.0,5.0,32.0,75.0,10.0,250.0,3.0,3.0,Lung2,512.0,1500.0,-700.0,0.0,0.0,0.0,0.0,0.0,origin
,胸腔30-50kg,儿童,胸部,软组织,40-50,螺旋,150.0,500.0,32×0.6,0.938,1.0,100.0,171.0,160.0,N/A,N/A,0.0,8.0,32.0,120.0,15.0,300.0,3.0,3.0,Lung2,512.0,1500.0,-700.0,0.0,0.0,0.0,0.0,0.0,origin
,胸腔50-70kg,儿童,胸部,软组织,50-60,螺旋,200.0,500.0,32×0.6,0.938,1.0,100.0,213.0,200.0,N/A,N/A,0.0,10.0,32.0,200.0,20.0,360.0,3.0,3.0,Lung2,512.0,1500.0,-700.0,0.0,0.0,0.0,0.0,0.0,origin
,胸腔70-90kg,儿童,胸部,软组织,70-90,螺旋,249.0,500.0,32×0.6,0.938,1.0,120.0,144.0,135.0,N/A,N/A,0.0,12.0,32.0,298.8,25.0,420.0,3.0,3.0,Lung2,512.0,1500.0,-700.0,0.0,0.0,0.0,0.0,0.0,origin
,胸腔4D,成人,胸部,软组织,50-90,4D,326.0,500.0,32×0.6,N/A,1.0,120.0,70.0,70.0,19.2,17.0,0.0,40.95,,1334.97,50.0,420.0,4.8,4.8,Lung2,512.0,1500.0,-700.0,0.0,0.0,0.0,0.0,1.0,origin
脊柱,颈部,成人,颈椎/胸部,骨骼,50-90,螺旋,250.0,500.0,32×0.6,1.1,1.0,120.0,204.0,224.0,N/A,N/A,1.0,17.0,32.0,425.0,50.0,200.0,2.0,2.0,Bone2,512.0,4000.0,600.0,0.0,0.0,0.0,0.0,0.0,origin
,胸椎及腰椎,成人,腰椎,骨骼,50-90,螺旋,300.0,500.0,32×0.6,1.3,1.0,120.0,154.0,200.0,N/A,N/A,1.0,15.2,32.0,456.0,50.0,200.0,3.0,3.0,Bone2,512.0,4000.0,600.0,0.0,0.0,0.0,0.0,0.0,origin
,胸椎及腰椎0-18m,婴儿,胸椎/腰椎,骨骼,＜10,螺旋,150.0,500.0,32×0.6,0.938,1.0,120.0,80.0,75.0,N/A,N/A,0.0,6.7,32.0,100.5,25.0,200.0,2.0,2.0,Bone2,512.0,4000.0,600.0,0.0,0.0,0.0,0.0,0.0,origin
,胸椎及腰椎18m-3y,儿童,胸椎/腰椎,骨骼,20-30,螺旋,200.0,500.0,32×0.6,0.1,1.0,120.0,1000.0,100.0,N/A,N/A,0.0,8.9,32.0,178.0,25.0,200.0,2.0,2.0,Bone2,512.0,4000.0,600.0,0.0,0.0,0.0,0.0,0.0,origin
,胸椎及腰椎3-8y,儿童,胸椎/腰椎,骨骼,40-50,螺旋,200.0,500.0,32×0.6,0.938,1.0,120.0,133.0,125.0,N/A,N/A,0.0,11.4,32.0,228.0,30.0,220.0,2.0,2.0,Bone2,512.0,4000.0,600.0,0.0,0.0,0.0,0.0,0.0,origin
,胸椎及腰椎8yrs+,儿童,胸椎/腰椎,骨骼,50-60,螺旋,250.0,500.0,32×0.6,0.938,1.0,120.0,160.0,150.0,N/A,N/A,0.0,13.4,32.0,335.0,40.0,220.0,2.0,2.0,Bone2,512.0,4000.0,600.0,0.0,0.0,0.0,0.0,0.0,origin
,脊椎轴向,成人,椎间盘/椎体,骨骼,50-90,断层,39.0,500.0,32×0.6,N/A,1.0,120.0,180.0,180.0,19.2,2.0,0.0,15.0,32.0,58.5,50.0,200.0,2.4,2.4,S2,512.0,4000.0,600.0,0.0,0.0,0.0,0.0,0.0,origin
腹部,腹部,成人,腹部,软组织,50-90,螺旋,399.0,500.0,32×0.6,1.3,1.0,120.0,226.0,294.0,N/A,N/A,1.0,20.0,32.0,798.0,50.0,350.0,3.0,3.0,S2,512.0,300.0,40.0,0.0,0.0,0.0,0.0,0.0,origin
,结肠,成人,腹部,软组织,50-90,螺旋,399.0,500.0,32×0.6,1.3,1.0,120.0,226.0,294.0,N/A,N/A,1.0,20.0,32.0,798.0,50.0,350.0,3.0,3.0,S2,512.0,300.0,40.0,0.0,0.0,0.0,0.0,0.0,origin
,径流,成人,主动脉,软组织,50-90,螺旋,1000.0,500.0,32×0.6,1.3,1.0,120.0,169.0,220.0,N/A,N/A,1.0,14.14,32.0,1414.0,50.0,350.0,3.0,3.0,S2,512.0,300.0,40.0,0.0,0.0,0.0,0.0,0.0,origin
,躯干螺旋,成人,腹部,软组织,50-90,螺旋,399.0,500.0,32×0.6,1.3,1.0,120.0,226.0,294.0,N/A,N/A,1.0,20.0,32.0,798.0,50.0,350.0,3.0,3.0,S2,512.0,300.0,40.0,0.0,0.0,0.0,0.0,0.0,origin
,肝脏,成人,肝脏,软组织,50-90,螺旋,348.0,500.0,32×0.6,1.3,1.0,120.0,226.0,294.0,N/A,N/A,1.0,20.0,32.0,696.0,50.0,350.0,3.0,3.0,S2,512.0,300.0,40.0,0.0,0.0,0.0,0.0,0.0,origin
,胰腺,成人,胰腺,软组织,50-90,螺旋,348.0,500.0,32×0.6,1.3,1.0,120.0,226.0,294.0,N/A,N/A,1.0,20.0,32.0,696.0,50.0,350.0,3.0,3.0,S2,512.0,300.0,40.0,0.0,0.0,0.0,0.0,0.0,origin
,腹部/骨盆0-10kg,婴儿,腹部,软组织,＜10,螺旋,150.0,500.0,32×0.6,1.1,1.0,100.0,149.0,164.0,N/A,N/A,0.0,7.0,32.0,105.0,10.0,180.0,3.0,3.0,S2,512.0,300.0,40.0,0.0,0.0,0.0,0.0,0.0,origin
,腹部/骨盆10-30kg,儿童,腹部,软组织,20-30,螺旋,150.0,500.0,32×0.6,1.1,1.0,100.0,191.0,210.0,N/A,N/A,0.0,9.0,32.0,135.0,20.0,250.0,3.0,3.0,S2,512.0,300.0,40.0,0.0,0.0,0.0,0.0,0.0,origin
,腹部/骨盆30-50kg,儿童,腹部,软组织,40-50,螺旋,199.5,500.0,32×0.6,1.1,1.0,120.0,144.0,158.0,N/A,N/A,0.0,12.0,32.0,239.4,25.0,300.0,3.0,3.0,S2,512.0,300.0,40.0,0.0,0.0,0.0,0.0,0.0,origin
,腹部/骨盆50-70kg,儿童,腹部,软组织,50-60,螺旋,249.0,500.0,32×0.6,1.1,1.0,120.0,180.0,198.0,N/A,N/A,0.0,15.0,32.0,373.5,40.0,300.0,3.0,3.0,S2,512.0,300.0,40.0,0.0,0.0,0.0,0.0,0.0,origin
,腹部/骨盆70-90kg,儿童,腹部,软组织,70-90,螺旋,348.0,500.0,32×0.6,1.1,1.0,120.0,225.0,248.0,N/A,N/A,0.0,20.0,32.0,696.0,40.0,300.0,5.0,5.0,S2,512.0,300.0,40.0,0.0,0.0,0.0,0.0,0.0,origin
,腹部QA_成人,成人,腹部,软组织,50-90,螺旋,150.0,500.0,32×0.7,0.938,1.0,120.0,200.0,190.0,N/A,N/A,0.0,16.9,32.0,253.5,40.0,300.0,5.0,5.0,S2,512.0,300.0,40.0,0.0,0.0,0.0,0.0,0.0,origin
,腹部QA_儿童,儿童,腹部,团组织,50-90,螺旋,150.0,500.0,32×0.8,0.938,1.0,120.0,100.0,94.0,N/A,N/A,0.0,8.4,32.0,126.0,25.0,300.0,5.0,5.0,S2,512.0,300.0,40.0,0.0,0.0,0.0,0.0,0.0,origin
四肢,膝盖,成人,膝盖,骨骼,50-90,螺旋,198.0,500.0,32×0.6,0.938,1.0,120.0,128.0,120.0,N/A,N/A,1.0,10.7,32.0,211.86,50.0,300.0,2.0,2.0,S2,512.0,4000.0,600.0,0.0,0.0,0.0,0.0,0.0,origin
,四肢,成人,四肢,骨骼,50-91,螺旋,200.0,500.0,32×0.6,0.938,1.0,120.0,117.0,110.0,N/A,N/A,1.0,9.8,32.0,196.0,50.0,150.0,2.0,2.0,S2,512.0,4000.0,600.0,0.0,0.0,0.0,0.0,0.0,origin
,肩/髋,成人,肩部,骨骼,50-92,螺旋,198.0,500.0,32×0.6,0.938,1.0,140.0,277.0,260.0,N/A,N/A,1.0,35.1,32.0,694.98,50.0,400.0,2.0,2.0,S2,512.0,4000.0,600.0,0.0,0.0,0.0,0.0,1.0,origin
