Part,ProtocolName,Age Group,Anatomical region,Density,"Patient weight
(kg)",Scan type,"length
（mm）","Surview FOV
(mm)",Collimation,Pitch,"Rot time
(s)",Kv,mAs ,mA,"Increment
(mm)",cycles,DOM,"CTDIvol
（mGy）",CTDI phantom size（cm）,"DLP
(mGy*cm)","Dose report CTDIvol value
(mGy)","Dose report DLP value
(mGy*cm)"," Recon FOV
(mm)","Slice thickness
(mm)","Image increment
(mm)",Filter,Matrix,WindowWidth,WindowCenter,X_Center,Y_Center,MetalReduction,mARef,AF,origin/custom
,IAC6yrs+,Child,IAC,Bone,40-50,Helical,48.0,500.0,32×0.6,0.6,1.0,120.0,300.0,180.0,N/A,N/A,0.0,41.4,16.0,198.7,80.0,390.0,200.0,1.0,1.0,Bone2,512.0,4000.0,600.0,0.0,0.0,0.0,0.0,0.0,origin
,Brain_AX_0-18m,Infant,Brain,ST,＜10,Axial,135.0,500.0,32×0.6,N/A,1.0,120.0,192.0,192.0,19.2,7.0,0.0,26.5,16.0,357.8,50.0,680.0,200.0,2.4,2.4,Brain2,512.0,100.0,40.0,0.0,0.0,0.0,0.0,0.0,origin
,Brain_B_AX_0-18m,Infant,Brain,Bone,＜10,Axial,135.0,500.0,32×0.6,N/A,1.0,120.0,192.0,192.0,19.2,7.0,0.0,26.5,16.0,357.8,50.0,680.0,200.0,2.4,2.4,Bone2,512.0,3500.0,600.0,0.0,0.0,0.0,0.0,0.0,origin
,Brain_AX_18m-6y,Child,Brain,ST,20-30,Axial,135.0,500.0,32×0.6,N/A,1.0,120.0,205.0,205.0,19.2,7.0,0.0,32.1,16.0,433.4,60.0,810.0,200.0,2.4,2.4,Brain2,512.0,100.0,40.0,0.0,0.0,0.0,0.0,0.0,origin
,Brain_B_AX_18m-6y,Child,Brain,Bone,20-30,Axial,135.0,500.0,32×0.6,N/A,1.0,120.0,205.0,205.0,19.2,7.0,0.0,32.1,16.0,433.4,60.0,810.0,200.0,2.4,2.4,Bone2,512.0,3500.0,600.0,0.0,0.0,0.0,0.0,0.0,origin
,Brain_AX_6yrs+,Child,Brain,ST,40-50,Axial,135.0,500.0,32×0.6,N/A,1.0,120.0,235.0,235.0,19.2,7.0,0.0,36.8,16.0,496.8,60.0,810.0,200.0,2.4,2.4,Brain2,512.0,100.0,40.0,0.0,0.0,0.0,0.0,0.0,origin
,Brain_B_AX_6yrs+,Child,Brain,Bone,40-50,Axial,135.0,500.0,32×0.6,N/A,1.0,120.0,235.0,235.0,19.2,7.0,0.0,36.8,16.0,496.8,60.0,810.0,200.0,2.4,2.4,Bone2,512.0,3500.0,600.0,0.0,0.0,0.0,0.0,0.0,origin
,Brain_0-18m,Infant,Brain,ST,＜10,Helical,120.0,500.0,32×0.6,0.6,1.0,120.0,192.0,115.0,N/A,N/A,0.0,26.5,16.0,318.0,50.0,600.0,200.0,3.0,3.0,Brain2,512.0,100.0,40.0,0.0,0.0,0.0,0.0,0.0,origin
,Brain_B_0-18m,Infant,Brain,Bone,＜10,Helical,120.0,500.0,32×0.6,0.6,1.0,120.0,192.0,115.0,N/A,N/A,0.0,26.5,16.0,318.0,50.0,600.0,200.0,3.0,3.0,Bone2,512.0,3500.0,600.0,0.0,0.0,0.0,0.0,0.0,origin
,Brain_18m-6y,Child,Brain,ST,20-30,Helical,120.0,500.0,32×0.6,0.6,1.0,120.0,233.0,140.0,N/A,N/A,0.0,32.2,16.0,386.4,60.0,720.0,200.0,3.0,3.0,Brain2,512.0,100.0,40.0,0.0,0.0,0.0,0.0,0.0,origin
,Brain_B_18m-6y,Child,Brain,Bone,20-30,Helical,120.0,500.0,32×0.6,0.6,1.0,120.0,233.0,140.0,N/A,N/A,0.0,32.2,16.0,386.4,60.0,720.0,200.0,3.0,3.0,Bone2,512.0,3500.0,600.0,0.0,0.0,0.0,0.0,0.0,origin
,Brain_6yrs+,Child,Brain,ST,40-50,Helical,120.0,500.0,32×0.6,0.6,1.0,120.0,267.0,160.0,N/A,N/A,0.0,36.8,16.0,441.6,60.0,720.0,200.0,3.0,3.0,Brain2,512.0,100.0,40.0,0.0,0.0,0.0,0.0,0.0,origin
,Brain_B_6yrs+,Child,Brain,Bone,40-50,Helical,120.0,500.0,32×0.6,0.6,1.0,120.0,267.0,160.0,N/A,N/A,0.0,36.8,16.0,441.6,60.0,720.0,200.0,3.0,3.0,Bone2,512.0,3500.0,600.0,0.0,0.0,0.0,0.0,0.0,origin
,S/F/O_0-6y,Child,Sinuses,Sinuses,20-30,Helical,100.0,500.0,32×0.6,0.6,1.0,100.0,167.0,100.0,N/A,N/A,0.0,14.5,16.0,145.0,45.0,450.0,140.0,2.0,2.0,S3,512.0,2500.0,200.0,0.0,0.0,0.0,0.0,0.0,origin
,S/F/O_6yrs+,Child,Sinuses,Sinuses,40-50,Helical,100.0,500.0,32×0.6,0.6,1.0,100.0,225.0,135.0,N/A,N/A,0.0,19.6,16.0,196.0,45.0,450.0,140.0,2.0,2.0,S3,512.0,2500.0,200.0,0.0,0.0,0.0,0.0,0.0,origin
,Brain/cervical,Adult,Brain/cervical spine,ST,50-90,Helical,305.0,500.0,32×0.6,1.3,1.0,120.0,196.0,255.0,N/A,N/A,1.0,30.7,16.0,936.4,80.0,2440.0,250.0,5.0,5.0,Brain2,512.0,300.0,40.0,0.0,0.0,0.0,0.0,0.0,origin
,Brain/cervical_B,Adult,Brain/cervical spine,Bone,50-90,Helical,305.0,500.0,32×0.6,1.3,1.0,120.0,196.0,255.0,N/A,N/A,1.0,30.7,16.0,936.4,80.0,2440.0,250.0,5.0,5.0,Bone2,512.0,300.0,40.0,0.0,0.0,0.0,0.0,0.0,origin
,QA_Adult,Adult,Water Phantom,ST,50-90,Axial,19.2,200.0,32×0.6,N/A,1.0,120.0,200.0,200.0,19.2,N/A,0.0,27.6,16.0,53.0,80.0,160.0,200.0,9.2,9.2,S2,512.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,origin
,QA_Child,Child,Water Phantom,ST,50-90,Axial,19.2,200.0,32×0.6,N/A,1.0,120.0,100.0,100.0,19.2,N/A,0.0,13.8,16.0,26.5,80.0,160.0,200.0,9.2,9.2,S2,512.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,origin
Neck,Neck,Adult,Neck,ST,50-90,Helical,300.0,500.0,32×0.6,1.1,1.0,120.0,282.0,310.0,N/A,N/A,1.0,25.0,32.0,750.0,80.0,2400.0,250.0,3.0,3.0,S2,512.0,350.0,40.0,0.0,0.0,0.0,0.0,0.0,origin
,Neck_0-6yrs,Child,Neck,Bone,20-30,Helical,197.5,500.0,32×0.6,1.1,1.0,100.0,171.0,188.0,N/A,N/A,0.0,8.0,32.0,158.0,30.0,600.0,200.0,1.0,1.0,Bone2,512.0,4000.0,600.0,0.0,0.0,0.0,0.0,0.0,origin
,Neck_6yrs+,Child,Neck,Bone,40-50,Helical,197.5,500.0,32×0.6,1.1,1.0,100.0,245.0,269.0,N/A,N/A,0.0,12.2,32.0,241.0,40.0,790.0,200.0,1.0,1.0,Bone2,512.0,4000.0,600.0,0.0,0.0,0.0,0.0,0.0,origin
,Neck_0-18m,Infant,cervical spine,Bone,＜10,Helical,150.0,500.0,32×0.6,0.6,1.0,100.0,142.0,85.0,N/A,N/A,0.0,6.7,32.0,100.5,25.0,380.0,180.0,1.0,1.0,Bone2,512.0,4000.0,600.0,0.0,0.0,0.0,0.0,0.0,origin
,Neck_18m-3y,Child,cervical spine,Bone,20-30,Helical,150.0,500.0,32×0.6,0.6,1.0,100.0,170.0,102.0,N/A,N/A,0.0,8.0,32.0,120.0,25.0,380.0,180.0,1.0,1.0,Bone2,512.0,4000.0,600.0,0.0,0.0,0.0,0.0,0.0,origin
,Neck_3-8y,Child,cervical spine,Bone,30-40,Helical,150.0,500.0,32×0.6,0.6,1.0,100.0,170.0,102.0,N/A,N/A,0.0,8.0,32.0,120.0,30.0,450.0,180.0,1.0,1.0,Bone2,512.0,4000.0,600.0,0.0,0.0,0.0,0.0,0.0,origin
,Neck_8yrs+,Child,cervical spine,Bone,50-60,Helical,150.0,500.0,32×0.6,0.6,1.0,100.0,303.0,182.0,N/A,N/A,0.0,14.3,32.0,214.5,40.0,600.0,180.0,1.0,1.0,Bone2,512.0,4000.0,600.0,0.0,0.0,0.0,0.0,0.0,origin
Chest,Chest,Adult,Chest,ST,50-90,Helical,348.0,500.0,32×0.6,1.3,1.0,120.0,171.0,222.0,N/A,N/A,1.0,14.3,32.0,497.6,50.0,1740.0,350.0,3.0,3.0,Lung2,512.0,1500.0,-700.0,0.0,0.0,0.0,0.0,0.0,origin
,C/A/P,Adult,Trunk,ST,50-90,Helical,516.0,500.0,32×0.6,1.3,1.0,120.0,226.0,294.0,N/A,N/A,1.0,20.0,32.0,1032.0,50.0,2580.0,350.0,3.0,3.0,S2,512.0,500.0,40.0,0.0,0.0,0.0,0.0,0.0,origin
,Chest_PE,Adult,Chest,ST,50-90,Helical,348.0,500.0,32×0.6,1.3,1.0,120.0,171.0,222.0,N/A,N/A,1.0,14.3,32.0,497.6,50.0,1740.0,350.0,2.0,2.0,Lung2,512.0,1500.0,-700.0,0.0,0.0,0.0,0.0,0.0,origin
,Chest_0-10kg,Infant,Chest,ST,＜10,Helical,150.0,500.0,32×0.6,0.938,1.0,100.0,85.0,80.0,N/A,N/A,0.0,4.0,32.0,60.0,10.0,150.0,180.0,3.0,3.0,Lung2,512.0,1500.0,-700.0,0.0,0.0,0.0,0.0,0.0,origin
,Chest_10-30kg,Child,Chest,ST,20-30,Helical,150.0,500.0,32×0.6,0.938,1.0,100.0,107.0,100.0,N/A,N/A,0.0,5.0,32.0,75.0,10.0,150.0,250.0,3.0,3.0,Lung2,512.0,1500.0,-700.0,0.0,0.0,0.0,0.0,0.0,origin
,Chest_30-50kg,Child,Chest,ST,40-50,Helical,150.0,500.0,32×0.6,0.938,1.0,100.0,171.0,160.0,N/A,N/A,0.0,8.0,32.0,120.0,15.0,230.0,300.0,3.0,3.0,Lung2,512.0,1500.0,-700.0,0.0,0.0,0.0,0.0,0.0,origin
,Chest_50-70kg,Child,Chest,ST,50-60,Helical,200.0,500.0,32×0.6,0.938,1.0,100.0,213.0,200.0,N/A,N/A,0.0,10.0,32.0,200.0,20.0,400.0,360.0,3.0,3.0,Lung2,512.0,1500.0,-700.0,0.0,0.0,0.0,0.0,0.0,origin
,Chest_70-90kg,Child,Chest,ST,70-90,Helical,249.0,500.0,32×0.6,0.938,1.0,120.0,144.0,135.0,N/A,N/A,0.0,12.0,32.0,298.8,25.0,630.0,420.0,3.0,3.0,Lung2,512.0,1500.0,-700.0,0.0,0.0,0.0,0.0,0.0,origin
,Chest_4D,Adult,Chest,ST,50-90,4D,326.0,500.0,32×0.6,N/A,1.0,120.0,120.0,120.0,19.2,17.0,0.0,60.2,32.0,1962.5,50.0,1630.0,420.0,4.8,4.8,Lung2,512.0,1500.0,-700.0,0.0,0.0,0.0,0.0,1.0,origin
Spine,Cervical spine,Adult,cervical/thoracic spine,Bone,50-90,Helical,250.0,500.0,32×0.6,1.1,1.0,120.0,204.0,224.0,N/A,N/A,1.0,17.0,32.0,425.0,50.0,1250.0,200.0,2.0,2.0,Bone2,512.0,4000.0,600.0,0.0,0.0,0.0,0.0,0.0,origin
,T/L/S,Adult,Thoracic/lumbar spine,Bone,50-90,Helical,300.0,500.0,32×0.6,1.3,1.0,120.0,154.0,200.0,N/A,N/A,1.0,15.2,32.0,456.0,50.0,1500.0,200.0,3.0,3.0,Bone2,512.0,4000.0,600.0,0.0,0.0,0.0,0.0,0.0,origin
,T/L/S_0-18m,Infant,Thoracic/lumbar spine,Bone,＜10,Helical,150.0,500.0,32×0.6,0.938,1.0,120.0,80.0,75.0,N/A,N/A,0.0,6.7,32.0,100.5,25.0,380.0,200.0,2.0,2.0,Bone2,512.0,4000.0,600.0,0.0,0.0,0.0,0.0,0.0,origin
,T/L/S_18m-3y,Child,Thoracic/lumbar spine,Bone,20-30,Helical,200.0,500.0,32×0.6,0.1,1.0,120.0,1000.0,100.0,N/A,N/A,0.0,8.9,32.0,178.0,25.0,500.0,200.0,2.0,2.0,Bone2,512.0,4000.0,600.0,0.0,0.0,0.0,0.0,0.0,origin
,T/L/S_3-8y,Child,Thoracic/lumbar spine,Bone,40-50,Helical,200.0,500.0,32×0.6,0.938,1.0,120.0,133.0,125.0,N/A,N/A,0.0,11.4,32.0,228.0,30.0,600.0,220.0,2.0,2.0,Bone2,512.0,4000.0,600.0,0.0,0.0,0.0,0.0,0.0,origin
,T/L/S_8yrs+,Child,Thoracic/lumbar spine,Bone,50-60,Helical,250.0,500.0,32×0.6,0.938,1.0,120.0,160.0,150.0,N/A,N/A,0.0,13.4,32.0,335.0,40.0,1000.0,220.0,2.0,2.0,Bone2,512.0,4000.0,600.0,0.0,0.0,0.0,0.0,0.0,origin
,IVD,Adult,Intervertebral disc,Bone,50-90,Axial,39.0,500.0,32×0.6,N/A,1.0,120.0,180.0,180.0,19.2,2.0,0.0,15.0,32.0,58.5,50.0,200.0,200.0,2.4,N/A,S2,512.0,4000.0,600.0,0.0,0.0,0.0,0.0,0.0,origin
Abdomen,Abdomen,Adult,Abdomen,ST,50-90,Helical,399.0,500.0,32×0.6,1.3,1.0,120.0,226.0,294.0,N/A,N/A,1.0,20.0,32.0,798.0,50.0,2000.0,350.0,3.0,3.0,S2,512.0,300.0,40.0,0.0,0.0,0.0,0.0,0.0,origin
,Colon,Adult,Abdomen,ST,50-90,Helical,399.0,500.0,32×0.6,1.3,1.0,120.0,226.0,294.0,N/A,N/A,1.0,20.0,32.0,798.0,50.0,2000.0,350.0,3.0,3.0,S2,512.0,300.0,40.0,0.0,0.0,0.0,0.0,0.0,origin
,Aorta,Adult,Aorta,ST,50-90,Helical,1000.0,500.0,32×0.6,1.3,1.0,120.0,169.0,220.0,N/A,N/A,1.0,14.14,32.0,1414.0,50.0,5000.0,350.0,3.0,3.0,S2,512.0,300.0,40.0,0.0,0.0,0.0,0.0,0.0,origin
,Trunk,Adult,Abdomen,ST,50-90,Helical,399.0,500.0,32×0.6,1.3,1.0,120.0,226.0,294.0,N/A,N/A,1.0,20.0,32.0,798.0,50.0,2000.0,350.0,3.0,3.0,S2,512.0,300.0,40.0,0.0,0.0,0.0,0.0,0.0,origin
,Liver,Adult,Liver,ST,50-90,Helical,348.0,500.0,32×0.6,1.3,1.0,120.0,226.0,294.0,N/A,N/A,1.0,20.0,32.0,696.0,50.0,1740.0,350.0,3.0,3.0,S2,512.0,300.0,40.0,0.0,0.0,0.0,0.0,0.0,origin
,Pancreas,Adult,Pancreas,ST,50-90,Helical,348.0,500.0,32×0.6,1.3,1.0,120.0,226.0,294.0,N/A,N/A,1.0,20.0,32.0,696.0,50.0,1740.0,350.0,3.0,3.0,S2,512.0,300.0,40.0,0.0,0.0,0.0,0.0,0.0,origin
,A/P/_0-10kg,Infant,Abdomen,ST,＜10,Helical,150.0,500.0,32×0.6,1.1,1.0,100.0,149.0,164.0,N/A,N/A,0.0,7.0,32.0,105.0,10.0,150.0,180.0,3.0,3.0,S2,512.0,300.0,40.0,0.0,0.0,0.0,0.0,0.0,origin
,A/P/_10-30kg,Child,Abdomen,ST,20-30,Helical,150.0,500.0,32×0.6,1.1,1.0,100.0,191.0,210.0,N/A,N/A,0.0,9.0,32.0,135.0,20.0,300.0,250.0,3.0,3.0,S2,512.0,300.0,40.0,0.0,0.0,0.0,0.0,0.0,origin
,A/P/_30-50kg,Child,Abdomen,ST,40-50,Helical,199.5,500.0,32×0.6,1.1,1.0,120.0,144.0,158.0,N/A,N/A,0.0,12.0,32.0,239.4,25.0,500.0,300.0,3.0,3.0,S2,512.0,300.0,40.0,0.0,0.0,0.0,0.0,0.0,origin
,A/P/_50-70kg,Child,Abdomen,ST,50-60,Helical,249.0,500.0,32×0.6,1.1,1.0,120.0,180.0,198.0,N/A,N/A,0.0,15.0,32.0,373.5,40.0,1000.0,300.0,3.0,3.0,S2,512.0,300.0,40.0,0.0,0.0,0.0,0.0,0.0,origin
,A/P/_70-90kg,Child,Abdomen,ST,70-90,Helical,348.0,500.0,32×0.6,1.1,1.0,120.0,225.0,248.0,N/A,N/A,0.0,20.0,32.0,696.0,40.0,1400.0,300.0,5.0,5.0,S2,512.0,300.0,40.0,0.0,0.0,0.0,0.0,0.0,origin
,Abdomen_QA_Adult,Adult,Abdomen,ST,50-90,Helical,150.0,500.0,32×0.7,0.938,1.0,120.0,200.0,190.0,N/A,N/A,0.0,16.9,32.0,253.5,40.0,600.0,300.0,5.0,5.0,S2,512.0,300.0,40.0,0.0,0.0,0.0,0.0,0.0,origin
,Abdomen_QA_Child,Child,Abdomen,ST,50-90,Helical,150.0,500.0,32×0.8,0.938,1.0,120.0,100.0,94.0,N/A,N/A,0.0,8.4,32.0,126.0,25.0,380.0,300.0,5.0,5.0,S2,512.0,300.0,40.0,0.0,0.0,0.0,0.0,0.0,origin
Limbs,Knee,Adult,Knee,Bone,50-90,Helical,198.0,500.0,32×0.6,0.938,1.0,120.0,128.0,120.0,N/A,N/A,1.0,10.7,32.0,211.9,50.0,990.0,300.0,2.0,2.0,S2,512.0,4000.0,600.0,0.0,0.0,0.0,0.0,0.0,origin
,Limbs,Adult,Limbs,Bone,50-91,Helical,200.0,500.0,32×0.6,0.938,1.0,120.0,117.0,110.0,N/A,N/A,1.0,9.8,32.0,196.0,50.0,1000.0,150.0,2.0,2.0,S2,512.0,4000.0,600.0,0.0,0.0,0.0,0.0,0.0,origin
,Shoulder/Pelvis,Adult,Shoulder/Pelvis,Bone,50-92,Helical,198.0,500.0,32×0.6,0.938,1.0,140.0,277.0,260.0,N/A,N/A,1.0,35.1,32.0,695.0,50.0,990.0,400.0,2.0,2.0,S2,512.0,4000.0,600.0,0.0,0.0,0.0,0.0,1.0,origin
